Source,Target,Weight,Delay
0,8,165.942,4
0,12,148.058,2
0,23,91.9191,6
0,43,128.746,3
0,44,156.068,7
0,61,119.251,8
0,66,4.99719,4
0,71,50.2407,2
0,76,102.88,8
0,82,124.386,5
0,99,132.499,2
0,134,22.9944,6
0,137,15.963,1
0,158,147.304,3
0,202,99.7439,2
0,205,35.971,3
0,228,133.508,3
0,229,170.462,1
0,231,194.688,2
0,258,193.376,5
0,279,9.83874,3
0,290,165.342,9
0,317,151.894,5
0,332,144.232,2
0,342,168.277,4
0,343,143.83,7
0,345,154.756,3
0,361,181.041,3
0,362,145.99,4
0,407,150.067,1
0,422,193.431,5
0,442,41.5364,1
0,457,132.745,3
0,461,86.6801,7
0,464,188.129,3
0,474,141.813,2
0,477,51.0579,4
0,486,187.458,2
0,490,170.833,4
0,497,121.612,1
0,504,123.017,5
0,522,93.2287,4
0,540,155.377,2
0,550,26.0747,5
0,573,114.461,3
0,582,49.1682,5
0,586,73.4226,3
0,589,149.93,2
0,595,178.175,4
0,611,13.8052,4
0,615,42.7381,4
0,621,24.8669,7
0,633,185.061,2
0,641,167.006,4
0,652,161.318,1
0,656,163.814,7
0,659,187.924,2
0,661,184.086,5
0,666,124.274,2
0,682,30.9323,4
0,683,113.839,1
0,696,53.0016,2
0,715,57.4377,1
0,723,156.578,4
0,730,194.61,3
0,745,89.0726,6
0,764,131.438,3
0,772,20.3026,5
0,775,42.86,6
0,782,95.1758,4
0,794,6.44994,3
0,807,164.227,3
0,823,67.3949,1
0,825,178.423,2
0,838,114.629,5
0,856,196.092,2
0,864,104.434,8
0,865,45.7336,2
0,870,61.9701,4
0,891,74.2156,1
0,897,37.7307,4
0,914,117.007,3
0,921,119.146,6
0,928,7.45235,3
0,929,42.586,4
0,944,90.7022,8
0,963,90.3514,2
0,993,4.49139,5
1,15,61.3755,4
1,25,61.0329,2
1,46,21.2192,6
1,51,46.031,6
1,59,6.36193,2
1,67,161.032,3
1,73,114.838,9
1,75,175.537,10
1,88,53.5233,5
1,119,9.41887,4
1,156,56.8922,7
1,188,50.7199,5
1,205,114.781,5
1,222,184.012,1
1,235,195.554,1
1,274,21.3683,2
1,285,11.504,1
1,291,126.022,2
1,303,145.364,2
1,328,48.0012,2
1,330,40.9336,3
1,348,120.417,1
1,353,53.6617,1
1,377,55.4767,2
1,392,108.905,1
1,404,112.4,3
1,407,62.4465,6
1,422,137.395,3
1,424,66.2116,1
1,444,133.394,3
1,454,162.182,3
1,480,9.99001,1
1,491,155.184,1
1,503,161.141,1
1,504,17.9004,3
1,545,58.0365,2
1,564,192.389,5
1,577,92.4001,3
1,595,78.116,3
1,616,22.6178,2
1,658,194.704,4
1,676,180.307,2
1,688,79.5796,4
1,714,176.845,2
1,723,128.168,3
1,763,10.3733,9
1,791,82.2465,6
1,804,2.9625,4
1,865,191.303,6
1,886,117.356,4
1,910,173.785,2
1,915,178.714,5
1,923,79.9809,2
1,960,9.73334,4
1,970,78.4683,2
1,971,120.086,3
1,974,138.565,4
1,980,47.8402,3
2,11,62.5769,2
2,12,114.877,6
2,25,193.436,4
2,38,78.2692,5
2,52,110.217,3
2,65,72.4974,2
2,69,88.9364,3
2,71,50.2464,7
2,78,187.248,1
2,79,69.6717,4
2,88,108.034,2
2,100,176.794,2
2,107,138.491,7
2,128,123.078,3
2,160,98.1271,3
2,164,171.802,2
2,181,84.8238,5
2,190,46.748,3
2,191,185.614,1
2,197,8.04707,1
2,201,54.3831,4
2,205,85.69,5
2,242,181.56,4
2,243,109.013,4
2,246,148.05,4
2,248,76.9509,4
2,249,125.273,4
2,254,76.519,4
2,258,182.32,4
2,259,185.328,2
2,282,56.1708,5
2,283,54.4043,4
2,298,126.869,2
2,303,193.888,4
2,321,7.39663,2
2,329,77.0263,4
2,330,42.0562,3
2,337,175.606,7
2,341,170.356,1
2,366,92.141,3
2,384,18.212,3
2,389,39.6362,1
2,391,19.1642,2
2,396,190.311,3
2,408,43.9878,2
2,409,23.6185,5
2,413,106.01,2
2,414,120.199,7
2,417,10.035,3
2,423,92.1822,4
2,431,67.242,5
2,436,78.3585,3
2,445,134.919,1
2,454,17.1132,3
2,458,97.2981,2
2,466,119.072,3
2,470,93.3715,1
2,480,32.7166,5
2,514,194.442,1
2,525,177.08,6
2,529,50.4698,4
2,532,100.898,3
2,538,53.0252,4
2,541,49.4726,2
2,544,29.2784,7
2,547,48.0646,9
2,572,181.066,2
2,593,139.769,2
2,600,90.8592,3
2,623,51.8031,4
2,624,146.698,4
2,625,192.799,2
2,627,83.3756,3
2,658,61.5153,6
2,668,115.945,2
2,670,23.2023,2
