ID,x,y
0,1.24691,2.71076
1,2.78004,2.96974
2,2.61435,1.4471
3,1.33026,0.178377
4,0.360091,0.337482
5,2.16052,1.86552
6,1.10839,0.0340301
7,0.345783,0.558353
8,0.869239,1.6635
9,2.53002,0.329802
10,1.85456,2.11056
11,2.62573,2.03958
12,1.75414,2.88436
13,0.0314223,2.10787
14,1.68804,2.63835
15,2.40886,2.09492
16,0.0576272,1.74811
17,2.34384,2.69696
18,0.725797,2.59235
19,1.61127,1.69414
20,0.0308579,2.23264
21,2.18408,2.2004
22,2.95853,0.615924
23,2.871,2.96064
24,0.540004,0.828691
25,2.83928,2.59504
26,0.544405,2.90993
27,0.450833,2.67125
28,1.80836,1.78735
29,1.35952,0.541938
30,1.49016,2.09068
31,2.73341,1.92332
32,2.85349,0.107877
33,2.84827,1.16993
34,2.26741,1.03215
35,2.95453,2.41065
36,2.8161,2.66668
37,0.662699,1.98057
38,2.25596,0.283799
39,0.660694,1.13393
40,0.78706,2.47623
41,0.619683,1.39348
42,1.07011,2.61428
43,0.559129,2.44448
44,0.476672,1.02832
45,2.59129,2.89403
46,1.10696,2.48985
47,0.167358,2.14079
48,1.11061,2.61376
49,2.68414,1.30195
50,1.16149,1.75908
51,1.78395,1.79385
52,1.8268,1.04542
53,0.705858,2.53174
54,1.17154,0.178307
55,0.0664546,1.28932
56,0.589156,0.460769
57,1.49957,0.313194
58,1.06477,2.01839
59,2.7485,2.48289
60,2.98168,1.83467
61,0.242547,0.701218
62,2.96101,0.855255
63,2.02239,2.76945
64,0.113807,2.08881
65,2.56713,0.996242
66,1.9528,1.86298
67,2.75953,2.23927
68,0.568621,0.0535477
69,2.99599,2.06788
70,0.375064,1.7624
71,0.939004,2.74403
72,2.53734,0.658317
73,2.40155,0.479812
74,0.90733,1.01447
75,2.47877,0.182832
76,1.34404,0.554163
77,0.904571,2.46974
78,2.61077,1.34
79,1.72616,0.98185
80,0.521137,0.744507
81,2.07747,0.0232777
82,0.377521,1.76416
83,0.93791,2.7081
84,0.97294,0.78401
85,1.85417,0.622272
86,1.7243,1.40373
87,1.0559,2.23661
88,2.8999,1.62172
89,2.32992,1.33466
90,0.473916,1.00737
91,0.429595,1.42812
92,0.173883,2.39086
93,2.99114,2.69786
94,1.22343,1.14878
95,0.498618,2.72169
96,2.34106,1.02075
97,0.361521,0.585591
98,2.95874,2.18162
99,1.84373,2.71739
100,2.34491,1.68232
101,0.24588,0.509661
102,0.273843,1.67532
103,0.368407,0.220745
104,2.56509,0.276739
105,1.14868,1.12785
106,1.78514,0.536887
107,0.838088,2.09181
108,0.630226,0.467855
109,2.47288,2.59565
110,2.25906,1.56335
111,0.548597,0.974707
112,0.497804,1.20547
113,1.66106,2.07541
114,2.61991,1.01191
115,2.52598,0.210949
116,1.17209,0.542722
117,0.868826,0.636781
118,1.03333,0.164055
119,2.66744,1.8798
120,0.00205614,2.79833
121,1.0549,0.0637272
122,1.54113,1.32399
123,1.10903,2.55034
124,1.0947,0.979127
125,0.0143522,0.290918
126,0.273772,2.5714
127,2.3301,2.23993
128,2.66277,2.177
129,2.74577,2.41659
130,2.9689,2.02393
131,0.450873,0.604754
132,0.169445,0.777411
133,0.583396,1.54737
134,2.6896,1.77509
135,0.598638,0.841026
136,1.34956,1.63019
137,1.12828,2.97575
138,0.544338,1.18026
139,1.08468,2.82292
140,0.243488,2.78873
141,2.10675,2.67432
142,1.44967,0.723712
143,2.92363,1.46367
144,2.14549,1.85147
145,0.0338249,2.81608
146,0.391451,2.07446
147,0.195115,0.743275
148,0.54462,2.11513
149,2.48686,0.912667
150,0.289203,1.88164
