Source,Target,Weight,Delay
0,21,40.2311,1
0,29,42.4152,2
0,34,158.252,4
0,45,25.9437,1
0,57,94.3451,2
0,59,168.864,2
0,61,62.4156,4
0,70,62.7348,5
0,72,83.4684,1
0,73,48.2508,9
0,81,117.604,1
0,91,174.403,2
0,97,142.516,2
0,101,86.2305,2
0,106,83.5865,8
0,111,190.135,4
0,118,110.488,6
0,139,96.4085,4
0,164,148.42,2
0,181,141.733,2
0,187,140.222,4
0,202,136.136,3
0,208,110.055,3
0,230,190.381,2
0,235,115.878,3
0,244,115.399,5
0,266,34.5001,1
0,271,81.042,2
0,277,6.5634,4
0,280,171.276,3
0,284,75.3673,1
0,285,186.156,3
0,297,159.909,6
0,302,130.84,4
0,308,181.967,5
0,309,0.855826,1
0,312,189.812,2
0,338,177.175,3
0,361,153.364,1
0,367,177.392,2
0,385,101.786,2
0,395,170.016,1
0,411,158.215,1
0,431,145.215,4
0,434,133.021,3
0,462,67.2369,7
0,476,48.3743,3
0,483,195.747,5
0,530,15.5957,2
0,576,53.5894,4
0,578,121.969,8
0,585,164.619,6
0,597,132.408,1
0,650,197.102,2
0,660,62.303,3
0,661,104.44,3
0,666,129.405,7
0,671,183.193,7
0,673,22.5143,7
0,696,93.5505,6
0,806,125.537,1
0,854,131.796,1
0,869,178.094,2
0,894,95.436,1
0,899,1.30667,5
0,900,166.234,10
0,921,158.242,4
0,928,50.2914,1
0,937,46.6824,3
0,938,82.1478,6
0,944,193.277,4
0,950,137.616,4
0,958,192.201,2
0,963,72.2639,2
0,983,117.017,2
1,4,164.994,3
1,11,119.818,5
1,15,63.2658,3
1,31,164.733,4
1,35,87.1312,2
1,43,2.41747,5
1,66,101.468,3
1,74,99.8825,4
1,88,39.6132,2
1,109,93.73,1
1,117,57.9587,4
1,121,2.67875,4
1,122,46.6398,2
1,125,3.7085,1
1,154,81.7135,3
1,185,80.5017,5
1,189,76.6803,5
1,206,188.867,2
1,210,179.618,2
1,218,190.461,1
1,224,143.556,2
1,226,111.887,2
1,234,171.412,4
1,240,16.8072,2
1,253,128.932,5
1,312,43.9664,8
1,316,148.283,1
1,321,198.846,7
1,325,173.398,5
1,326,55.825,3
1,352,36.1722,2
1,358,109.821,1
1,362,90.25,1
1,368,33.7428,6
1,372,164.97,3
1,386,71.4563,5
1,392,91.3574,3
1,397,135.205,6
1,405,48.9741,1
1,408,33.0154,1
1,412,148.093,4
1,414,123.868,7
1,416,173.045,3
1,433,49.0698,2
1,463,81.358,5
1,476,33.2344,7
1,485,120.495,6
1,489,24.3971,1
1,496,135.982,2
1,497,98.6088,4
1,498,78.795,1
1,508,187.856,4
1,521,60.7613,3
1,532,73.3447,10
1,534,127.682,6
1,537,18.5746,2
1,541,178.664,3
1,552,68.111,2
1,567,77.5737,3
1,579,97.1194,3
1,593,174.251,4
1,595,167.643,2
1,639,189.294,3
1,646,42.3753,2
1,659,151.355,3
1,679,156.939,8
1,680,121.413,4
1,682,171.856,5
1,687,133.554,1
1,699,39.3826,1
1,711,142.429,5
1,717,28.394,2
1,723,2.0034,2
1,741,109.123,1
1,746,139.745,7
1,752,138.085,4
1,753,150.22,5
1,762,127.493,1
1,764,117.481,8
1,769,141.111,4
1,780,158.321,7
1,784,78.1565,4
1,796,165.01,4
1,801,33.2054,4
1,814,22.5037,2
1,841,70.588,5
1,850,65.8879,4
1,857,154.411,2
1,863,132.923,3
1,875,167.978,2
1,917,167.107,6
1,922,97.5025,2
1,924,81.5575,4
1,953,90.8065,6
1,968,189.954,3
1,976,78.7077,4
1,978,151.377,3
1,980,115.44,1
1,984,125.256,6
1,990,168.953,2
1,993,18.6782,2
1,994,168.647,5
2,17,79.5903,3
2,41,196.862,4
2,43,89.1279,7
2,46,136.958,4
2,51,170.024,3
2,75,193.346,1
2,78,128.303,5
2,88,56.6714,5
2,98,119.731,2
2,112,14.0474,7
2,115,153.967,3
2,119,81.9665,5
2,123,84.0813,3
2,135,96.5079,2
2,136,116.83,2
2,144,20.7695,1
2,151,154.909,3
2,155,196.98,6
2,173,110.483,2
2,178,172.945,3
2,180,156.252,2
2,182,54.6203,5
2,191,181.388,5
2,199,11.8602,2
2,205,16.3935,2
2,221,53.1318,3
2,229,38.1256,3
2,239,107.338,6
2,269,2.52222,5
2,278,66.8891,2
2,282,102.364,3
2,286,184.489,1
2,289,177.457,1
2,293,106.543,3
2,298,59.6539,1
2,304,121.979,4
2,321,68.6728,2
2,323,29.8744,4
2,329,57.8748,5
2,335,122.26,3
2,338,134.858,3
2,339,49.4852,1
2,350,196.779,3
2,354,3.05616,5
2,368,30.748,1
2,370,146.947,3
2,376,103.384,2
2,386,135.525,3
2,387,15.2238,5
2,388,137.9,5
2,389,13.4847,4
2,391,102.31,4
2,393,170.691,4
2,397,166.715,5
2,401,7.42724,5
2,412,20.5777,6
2,413,127.492,3
2,416,118.529,4
2,417,71.4414,4
2,418,154.117,1
2,421,57.2882,4
2,430,12.7474,7
2,448,44.236,3
2,453,59.255,1
2,466,197.594,4
2,478,170.643,5
2,501,113.718,2
2,508,43.7718,3
2,514,37.5904,5
2,527,45.5956,2
2,537,37.5461,4
2,546,8.58087,3
2,556,184.89,1
2,564,145.451,1
2,567,18.5034,5
2,568,18.7407,5
2,575,43.095,5
2,582,17.9401,2
2,585,167.723,4
2,586,179.898,1
2,587,70.2145,2
2,593,21.4775,3
2,605,126.432,3
2,606,109.108,1
2,617,98.5118,4
2,620,144.513,6
2,625,32.693,3
2,626,137.564,5
2,627,65.6566,3
2,652,111.35,3
2,660,161.78,2
2,667,100.889,3
2,695,103.714,4
2,704,17.3478,2
2,706,20.8288,5
2,712,149.181,4
2,714,125.655,2
2,716,39.5666,8
2,719,148.412,1
2,724,50.4885,1
2,739,109.626,4
2,741,67.6443,6
2,742,172.175,2
2,743,2.84855,4
2,754,189.603,4
2,757,142.07,6
2,768,12.1049,6
2,776,13.5796,3
2,795,88.1307,1
2,802,146.907,1
2,803,133.765,5
2,805,143.767,5
2,838,102.043,6
2,841,119.241,2
2,852,9.69294,2
2,858,199.225,3
2,863,162.976,3
2,876,108.247,2
2,880,34.741,4
2,887,130.29,1
2,889,136.409,3
2,909,59.2045,2
2,917,184.935,5
2,928,96.9666,5
2,930,53.6682,6
2,936,22.6783,4
2,939,16.1845,2
2,946,92.9513,2
2,947,82.9514,5
2,956,86.3222,4
2,969,198.848,4
2,974,47.523,7
2,978,166.537,4
2,981,50.9805,6
2,991,185.852,4
2,993,193.023,5
2,997,108.151,4
2,998,111.302,1
3,11,166.127,2
3,13,159.295,2
3,32,179.352,3
3,34,184.278,7
3,39,96.5353,4
3,41,177.815,2
3,53,26.8052,4
3,54,92.2465,5
3,68,159.225,6
3,88,95.2209,3
3,94,176.091,5
3,103,104.32,5
3,127,179.297,3
3,129,61.3241,2
3,134,144.857,3
3,137,41.3089,5
3,140,62.3309,5
3,142,193.767,2
3,144,49.8279,3
3,151,79.0003,2
3,166,121.095,6
3,178,12.026,6
3,185,71.276,2
3,197,173.587,4
3,200,91.1304,2
3,207,99.8372,4
3,212,34.5535,1
3,218,73.3731,3
3,219,81.5411,7
3,220,5.63367,3
3,237,7.84987,3
3,240,15.8404,2
3,286,75.0911,3
3,307,58.1169,3
3,330,121.701,2
3,332,18.4214,2
3,362,147.556,4
3,376,59.3707,1
3,382,108.473,4
3,393,97.0524,2
3,394,76.2222,4
3,406,14.9599,2
3,415,187.469,2
3,416,185.444,2
3,437,73.104,1
3,443,120.88,3
3,444,103.527,2
3,446,15.7763,7
3,463,188.44,2
3,472,172.753,2
3,475,191.118,4
3,476,117.59,4
3,483,76.0917,4
3,484,67.2467,2
3,508,43.2863,1
3,510,39.0475,4
3,519,132.055,5
3,527,171.475,4
3,530,12.6751,6
3,542,177.179,7
3,545,89.3606,3
3,552,46.3892,4
3,555,32.6378,6
3,571,180.284,5
3,572,146.332,1
3,586,97.9006,2
3,589,72.0037,5
3,593,195.143,1
3,604,2.43233,3
3,609,83.3359,1
3,615,75.685,4
3,616,120.681,2
3,617,92.634,6
3,630,81.2601,5
3,633,190.377,4
3,636,119.981,5
3,638,56.0894,3
3,639,71.9959,2
3,658,22.5474,2
3,669,177.114,4
3,678,29.9424,4
3,682,183.762,3
3,684,142.136,5
3,690,36.9108,2
3,698,53.6399,3
3,707,113.05,7
3,708,83.7474,4
3,711,125.821,4
3,716,58.2061,6
3,718,173.627,1
3,727,64.8494,4
3,728,60.7883,5
3,732,157.373,4
3,735,137.722,5
3,741,102.265,4
3,753,33.8946,3
3,763,51.3111,5
3,771,88.8226,6
3,778,49.2039,2
3,800,132.422,2
3,805,179.182,5
3,810,117.598,4
3,814,95.2022,4
3,826,198.122,7
3,831,67.1184,5
3,842,99.557,3
3,845,17.2756,1
3,846,140.086,5
3,863,44.3554,1
3,865,82.6974,2
3,889,51.8409,5
3,891,39.6785,2
3,893,57.0881,4
3,915,194.936,1
3,919,99.0069,6
3,923,94.832,1
3,924,29.7928,1
3,929,75.9018,2
3,935,26.5868,5
3,943,165.544,3
3,955,31.9129,3
3,956,158.069,2
3,957,156.768,6
3,976,199.661,1
3,978,98.7016,3
3,982,171.454,2
3,995,83.6431,4
3,998,35.7059,2
4,13,108.526,3
4,25,65.3094,7
4,28,13.8771,3
4,32,39.354,1
4,35,37.9185,2
4,54,13.929,5
4,55,51.5411,7
4,60,48.9015,7
4,65,180.531,3
4,74,112.659,4
4,80,50.2459,2
4,94,10.1249,2
4,100,171.751,3
4,103,116.088,3
4,110,84.204,3
4,119,90.1659,3
4,125,91.8893,3
4,142,174.483,2
4,147,33.8275,4
4,168,22.5657,2
4,175,14.0344,7
4,185,96.4506,2
4,188,2.84335,3
4,193,107.335,4
4,207,168.842,2
4,209,184.766,7
4,210,162.909,4
4,226,62.7613,2
4,234,96.4205,3
4,236,113.245,3
4,239,119.606,5
4,254,191.949,2
4,256,128.576,4
4,257,70.9844,5
4,265,151.071,2
4,276,33.2775,5
4,278,31.2301,3
4,286,117.253,5
4,290,51.5393,3
4,291,76.9663,4
4,293,107.349,3
4,301,150.832,2
4,305,162.28,4
4,306,35.9517,3
4,307,73.1851,3
4,316,12.7832,3
4,347,62.5921,3
4,350,22.6055,3
4,358,39.8438,3
4,361,156.693,6
4,362,16.7706,4
4,364,46.7533,2
4,382,42.326,5
4,383,79.5205,2
4,388,165.213,3
4,393,129.322,1
4,433,62.9165,3
4,437,140.531,3
4,438,189.176,6
4,447,151.312,3
4,453,82.7259,5
4,459,120.149,5
4,460,100.645,3
4,468,100.773,1
4,484,92.2966,1
4,490,161.416,3
4,491,87.3529,6
4,496,152.987,2
4,498,28.3297,3
4,500,133.048,5
4,502,25.6817,2
4,503,137.529,4
4,508,129.436,3
4,515,54.8811,3
4,529,87.9722,4
4,533,20.4163,2
4,545,63.4729,4
4,558,169.505,5
4,572,10.2732,3
4,578,180.566,2
4,588,171.134,6
4,619,164.985,5
4,621,185.018,4
4,640,195.065,6
4,659,145.317,2
4,673,172.809,4
4,677,148.562,6
4,688,72.3054,2
4,697,90.3255,2
4,701,43.6004,5
4,706,21.4235,3
4,713,79.7352,2
4,715,177.724,4
4,717,130.265,2
4,725,146.484,2
4,730,43.917,1
4,775,156.925,2
4,789,35.5364,5
